ConRatio,Clauses,KClauses,dAmoCnt,eAmoCnt,DirMax,EncMax,OtherCnt,ElimVars,EncodeWeightSumK,Star_Time_CPU,Star_Time_Wall,Time,Name
0.000620989,338170,210,140,0,70,0,0,0,0,4.29,4.3,4.17,507f7ae54537571a77ca45336b0a322d-fphp-070-070.shuffled-as.sat05-1212
0.000631563,330925,209,139,0,70,0,0,0,0,4.36,4.37,4.21,18327e9a1de2f0d294c0c20e754c58aa-harder-fphp-070-069.sat05-1240.reshuffled-07
0.000789753,249445,197,127,0,70,0,0,0,0,3.19,3.21,3.08,eca997db9a091d5112f6c620800644a5-fphp-070-057.shuffled-as.sat05-1226
0.000827815,169120,140,70,0,70,0,0,0,0,2.17,2.17,2.05,ac08809bf838f818fe2a1b4e66958651-php-070-070.shuffled-as.sat05-1170
0.000833808,166705,139,69,0,70,0,0,0,0,2.1,2.11,2,ad22338a1e6bf54b79774e8ebeb2c3af-php-070-069.shuffled-as.sat05-1198
0.000847218,212460,180,120,0,60,0,0,0,0,2.8,2.77,2.65,47289fd0fdb45050c22258ddb35d65d4-fphp-060-060.shuffled-as.sat05-1211
0.000864108,207150,179,119,0,60,0,0,0,0,2.66,2.62,2.49,352fa1386fb92b961f675401b7d76e21-fphp-060-059.shuffled-as.sat05-1239
0.000922127,137725,127,57,0,70,0,0,0,0,1.74,1.75,1.65,a2358435c224774b7552f1d4249e79ed-php-070-057.shuffled-as.sat05-1184
0.001100196,152700,168,108,0,60,0,0,0,0,1.88,1.96,1.85,e40a465957441a8a57fd3e388920822c-fphp-060-048.shuffled-as.sat05-1225
0.001129305,106260,120,60,0,60,0,0,0,0,1.44,1.38,1.28,b997e08d6443f645bde80f13772c59fe-php-060-060.shuffled-as.sat05-1169
0.001138865,104490,119,59,0,60,0,0,0,0,1.34,1.33,1.23,e5ebf692853a40d2baa622fefd81bbe6-php-060-059.shuffled-as.sat05-1197
0.00122399,122550,150,100,0,50,0,0,0,0,1.57,1.56,1.46,32baec6a0b794482e314a8a621d421a6-fphp-050-050.shuffled-as.sat05-1210
0.001253417,118875,149,99,0,50,0,0,0,0,1.5,1.55,1.45,26752db2c153b9e98f81192227205539-harder-fphp-050-049.sat05-1238.reshuffled-07
0.001270289,85020,108,48,0,60,0,0,0,0,1.06,1.08,0.98,b92da089547b899d7ad0919a255aeb14-php-060-048.shuffled-as.sat05-1183
0.001514387,89145,135,90,0,45,0,0,0,0,1.22,1.15,1.05,14e21c70a36bbf25a525d835ceab52da-fphp-045-045.shuffled-as.sat05-1209
0.001554975,86175,134,89,0,45,0,0,0,0,1.12,1.12,1.02,d2f3da5df6f004d0128d3008f2f3cdf6-fphp-045-044.shuffled-as.sat05-1237
0.001590006,88050,140,90,0,50,0,0,0,0,1.13,1.14,1.04,a742a07c34822ce8b718fa74d08fc6c0-fphp-050-040.shuffled-as.sat05-1224
0.001631321,61300,100,50,0,50,0,0,0,0,1.17,0.81,0.7,42e5098d8fd498a760e9336cac826604-php-050-050.shuffled-as.sat05-1168
0.00164794,60075,99,49,0,50,0,0,0,0,1.16,0.8,0.68,d440df5704cde1da1c99f2d5e01568b6-php-050-049.shuffled-as.sat05-1196
0.001834862,49050,90,40,0,50,0,0,0,0,0.89,0.66,0.56,1a418d6c8aad501ecb7b47310a3b80ea-php-050-040.shuffled-as.sat05-1182
0.001921845,62440,120,80,0,40,0,0,0,0,1.16,0.82,0.72,61c7d1a15520c60d689c2937d48f24f9-fphp-040-040.shuffled-as.sat05-1208
0.001980033,60100,119,79,0,40,0,0,0,0,1.09,0.78,0.69,dee4f5be6442a5264510bf3586275cae-fphp-040-039.shuffled-as.sat05-1236
0.002018163,44595,90,45,0,45,0,0,0,0,0.87,0.61,0.52,90269b99c4857a01bf75cb3bf121c9c7-php-045-045.shuffled-as.sat05-1167
0.002033512,61470,125,80,0,45,0,0,0,0,1.16,0.81,0.71,2be29ea62e8b3f85bc0f874a194047b3-fphp-045-035.shuffled-as.sat05-1223
0.00204105,43605,89,44,0,45,0,0,0,0,0.88,0.59,0.5,66b8b3ebfc8e198f21e5c386286188e3-php-045-044.shuffled-as.sat05-1195
0.002305808,34695,80,35,0,45,0,0,0,0,0.67,0.47,0.38,6ca49aeefbbe69bbb1f97d2aee4a3d6f-php-045-035.shuffled-as.sat05-1181
0.00249777,44840,112,72,0,40,0,0,0,0,0.86,0.62,0.52,d9b9bf6e81b2a5fc33a0d64a1cd0dcf2-fphp-040-032.shuffled-as.sat05-1222
0.002518892,41685,105,70,0,35,0,0,0,0,0.85,0.57,0.47,cb061ca757ddf062729e976974b9b151-fphp-035-035.shuffled-as.sat05-1207
0.002560819,31240,80,40,0,40,0,0,0,0,0.58,0.43,0.34,1482c70e79304f719835696bed633da5-php-040-040.shuffled-as.sat05-1166
0.002593565,30460,79,39,0,40,0,0,0,0,0.57,0.44,0.34,fcbf121fcc2deb7294f9bc8a50218c71-php-040-039.shuffled-as.sat05-1194
0.002606516,39900,104,69,0,35,0,0,0,0,0.81,0.56,0.46,88e09ac9993c54adc66293189133043d-fphp-035-034.shuffled-as.sat05-1235
0.00288,25000,72,32,0,40,0,0,0,0,0.5,0.36,0.27,c82988874ac228f38860bc9a47db43e8-php-040-032.shuffled-as.sat05-1180
0.003142857,31500,99,64,0,35,0,0,0,0,0.61,0.44,0.34,4c0a07b097b2aeb19a69229fc59c5c57-easier-fphp-035-029.sat05-1221.reshuffled-07
0.003355705,20860,70,35,0,35,0,0,0,0,0.16,0.32,0.22,94b6f054a2e8282bbb968a04be8a2868-php-035-035.shuffled-as.sat05-1165
0.003404885,20265,69,34,0,35,0,0,0,0,0.16,0.31,0.22,b00fc8d84344592085c10bd94f406e5e-php-035-034.shuffled-as.sat05-1193
0.003444317,26130,90,60,0,30,0,0,0,0,0.53,0.38,0.29,788324d8c7c764e421f1018aaad3a40e-fphp-030-030.shuffled-as.sat05-1206
0.003585096,24825,89,59,0,30,0,0,0,0,0.19,0.37,0.27,e78648c1e76bffea04d6b5c78762a4e6-fphp-030-029.shuffled-as.sat05-1234
0.003652115,23548,86,58,0,30,0,0,0,0,0.51,0.34,0.25,8baa0711d8c1a402bd2504da74cdf863-satsgi-n28himBHm30-p0-q333
0.003701562,17290,64,29,0,35,0,0,0,0,0.14,0.28,0.18,050214ecbd9e96136fe1bc73447f1303-easier-php-035-029.sat05-1179.reshuffled-07
0.00418543,18875,79,54,0,29,0,0,0,0,0.16,0.28,0.19,ec3efc1f7b7f6b4f5826a6855b51cb3a-satsgi-n25himBHm29-p0-q290
0.004220745,18954,80,54,0,28,0,0,0,0,0.15,0.29,0.2,3f6eaf6621669afa72876a5c72a96c8e-satsgi-n26himBHm28-p0-q293
0.004270284,19905,85,55,0,30,0,0,0,0,0.47,0.31,0.22,517f58e1de08c7cf88a35b9a59a3af05-fphp-030-025.shuffled-as.sat05-1220
0.004363636,17875,78,53,0,28,0,0,0,0,0.15,0.28,0.18,ddca8be5f04a7f18e78e74688ab48a20-satsgi-n25himBHm28-p0-q293
0.004517356,16824,76,52,0,28,0,0,0,0,0.14,0.26,0.17,05fbbab9f0baf819ed9593cca8587629-satsgi-n24himBHm28-p0-q282
0.004556213,16900,77,52,0,27,0,0,0,0,0.14,0.26,0.17,3f3ac7a6ff729d9a274206abeb85bcf9-satsgi-n25himBHm27-p0-q250
0.004587156,13080,60,30,0,30,0,0,0,0,0.13,0.24,0.14,269d92aef52c2d8c729f4212bd29a8e8-php-030-030.shuffled-as.sat05-1164
0.004665876,12645,59,29,0,30,0,0,0,0,0.12,0.23,0.14,bd8bf6ab56971bbb428f96b338345a4a-php-030-029.shuffled-as.sat05-1192
0.004716981,15900,75,51,0,27,0,0,0,0,0.14,0.26,0.17,1c208d3e82f5a8398aa048db7a2d7c25-satsgi-n24himBHm27-p0-q257
0.004890467,14927,73,50,0,27,0,0,0,0,0.14,0.25,0.16,a3dd51e0e8bff3c25d0bd2acbe8d9301-satsgi-n23himBHm27-p0-q251
0.004933333,15000,74,50,0,26,0,0,0,0,0.14,0.25,0.16,5ba04fc4110839423710b280f7d8096c-satsgi-n24himBHm26-p0-q256
0.004991681,15025,75,50,0,25,0,0,0,0,0.14,0.25,0.16,149295422d7a647d48da377e0a4caea2-fphp-025-025.shuffled-as.sat05-1205
0.005043558,10905,55,25,0,30,0,0,0,0,0.11,0.21,0.12,2565059c258a9e1a45f61df4e0112010-php-030-025.shuffled-as.sat05-1178
0.00511509,14076,72,49,0,26,0,0,0,0,0.12,0.24,0.14,03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248
0.005238938,14125,74,49,0,25,0,0,0,0,0.13,0.24,0.15,652cc8db19b8da9567e18afaa22c3d75-fphp-025-024.shuffled-as.sat05-1233
0.005311883,13178,70,48,0,26,0,0,0,0,0.13,0.23,0.14,5d34af4e0d80564362e6d2bc4c8f614c-satsgi-n22himBHm26-p0-q256
0.0053593,13248,71,48,0,25,0,0,0,0,0.12,0.23,0.14,fdb0a60e8dab4e93c21fb397b9594e02-satsgi-n23himBHm25-p0-q219
0.005565863,12397,69,47,0,25,0,0,0,0,0.12,0.22,0.13,39b8cdd93b7cd129cb18ce64d53b24e0-satsgi-n22himBHm25-p0-q229
0.005790338,11571,67,46,0,25,0,0,0,0,0.12,0.21,0.12,29a09ec3c23fdb89ec56032d329e3606-satsgi-n21himBHm25-p0-q212
0.005842928,11638,68,46,0,24,0,0,0,0,0.11,0.22,0.12,d515fc7cfddd658a0fd3416d811b49f5-satsgi-n22himBHm24-p0-q195
0.006079027,10857,66,45,0,24,0,0,0,0,0.11,0.2,0.11,dd5193a211bf9bcebed95350bd9fb9c8-satsgi-n21himBHm24-p0-q201
0.00649652,10775,70,45,0,25,0,0,0,0,0.11,0.2,0.11,b26776dfd3dacf19c3e0536751c05a90-fphp-025-020.shuffled-as.sat05-1219
0.006644518,7525,50,25,0,25,0,0,0,0,0.09,0.17,0.08,25b4eff0c424fc1b760cf52562ec9a47-php-025-025.shuffled-as.sat05-1163
0.006782007,7225,49,24,0,25,0,0,0,0,0,0.17,0.08,02eef920cd1aab9ef3492fe27bf515c4-php-025-024.shuffled-as.sat05-1191
0.007343941,8170,60,41,0,22,0,0,0,0,0.1,0.18,0.08,f342b024d22dddb1282132c60c1d1f35-satsgi-n19himBHm22-p0-q181
0.00746888,6025,45,20,0,25,0,0,0,0,0.08,0.15,0.06,348e611ba5282f56d83e6d3979563d96-php-025-020.shuffled-as.sat05-1177
0.007874016,7620,60,40,0,20,0,0,0,0,0.09,0.18,0.08,9554c96c0a212275e529a8b156fc1e9b-fphp-020-020.shuffled-as.sat05-1204
0.008130081,7011,57,39,0,21,0,0,0,0,0.08,0.16,0.07,2160a6c887f1466a336795792346621e-satsgi-n18himBHm21-p0-q167
0.009049774,5967,54,37,0,20,0,0,0,0,0.09,0.15,0.06,ab1577c71ec3dd0234902a780a6b0dfd-satsgi-n17himBHm20-p0-q146
0.009713338,8442,82,40,0,21,0,0,0,0,0.1,0.18,0.09,38891f7317df8f195bd8fbec1d6a93fd-Pb-chnl20-21_c18
0.009771987,5526,54,36,0,18,0,0,0,0,0.07,0.15,0.06,6cc9c5a9cdd1ee2fa527862388871dd3-fphp-018-018.shuffled-as.sat05-1203
0.010459838,5067,53,35,0,18,0,0,0,0,0.07,0.15,0.06,1ed4590c1a44678115ccb2e049d22888-harder-fphp-018-017.sat05-1231.reshuffled-07
0.010471204,3820,40,20,0,20,0,0,0,0,0.06,0.13,0.04,23b8cfd9fde410f79db4e8ef6b62f396-php-020-020.shuffled-as.sat05-1162
0.010743802,3630,39,19,0,20,0,0,0,0,0.07,0.13,0.04,6c4e2fea92aa94f976a8585ab5eb4b95-php-020-019.shuffled-as.sat05-1190
0.011066398,4970,55,35,0,20,0,0,0,0,0.07,0.15,0.05,2fe9a4ad4b9e00a857d11534429703cf-fphp-020-015.shuffled-as.sat05-1218
0.012195122,2870,35,15,0,20,0,0,0,0,0.07,0.12,0.03,aaf336934920ff79f73e8584a2e44e58-php-020-015.shuffled-as.sat05-1176
0.012448133,3856,48,32,0,16,0,0,0,0,0.11,0.14,0.04,c3597a1893475479a8779083c761d1b3-fphp-016-016.shuffled-as.sat05-1202
0.012987013,2772,36,18,0,18,0,0,0,0,0.06,0.12,0.03,0c3d709ab7576354e69ad01dfab14cdb-php-018-018.shuffled-as.sat05-1161
0.013164824,3798,50,32,0,18,0,0,0,0,0.07,0.13,0.04,e893e419786784b3b5c8fd44999fc676-fphp-018-014.shuffled-as.sat05-1217
0.013363879,2619,35,17,0,18,0,0,0,0,0.18,0.12,0.03,3b897065cb9660b2574772ab22ff1792-php-018-017.shuffled-as.sat05-1189
0.013443936,3496,47,31,0,16,0,0,0,0,0.07,0.13,0.04,6f40bd5ac85e2a53b392d8f0369e7f1f-harder-fphp-016-015.sat05-1230.reshuffled-07
0.014691943,4220,62,22,0,20,0,0,0,0,0.08,0.14,0.04,805a742eb8b4e0df3561ca8e0670670b-homer20.shuffled
0.014814815,2160,32,14,0,18,0,0,0,0,0.05,0.11,0.02,419591446bdfdc45161b3a6dc103e269-php-018-014.shuffled-as.sat05-1175
0.015934844,2824,45,29,0,16,0,0,0,0,0.18,0.12,0.03,67d7da9cfbf74b043dd0abbd212d11aa-fphp-016-013.shuffled-as.sat05-1216
0.01622272,665733,10800,5400,0,27,0,0,0,0,9.39,9.37,9.17,5c409dd2a3ca6066b7de7d72524b1bec-qwh.60.1800.shuffled-as.sat03-1660
0.016393443,2562,42,28,0,14,0,0,0,0,0.06,0.12,0.03,d08c5fac67a7490e7f976dc07a891148-fphp-014-014.shuffled-as.sat05-1201
0.016528926,1936,32,16,0,16,0,0,0,0,0.06,0.12,0.02,87812ad06d3612ba0d4766c410e9f7f7-php-016-016.shuffled-as.sat05-1160
0.016763006,3460,58,18,0,20,0,0,0,0,0.07,0.13,0.04,c98cb332cef9805eb77f592e7470fc56-homer10.shuffled
0.017070485,1816,31,15,0,16,0,0,0,0,0.05,0.14,0.02,556fd0833079f7aa825075bb9cd6afe4-php-016-015.shuffled-as.sat05-1188
0.017070485,3632,62,30,0,16,0,0,0,0,0.07,0.13,0.04,854e92b1b7b24def3535fccbcf94cb8a-Pb-chnl15-16_c18
0.017911752,2289,41,27,0,14,0,0,0,0,0.06,0.11,0.03,39974d81b6bb1361600f40a0cd76adfa-fphp-014-013.shuffled-as.sat05-1229
0.018401015,1576,29,13,0,16,0,0,0,0,0.05,0.11,0.02,5dba8c37f6cf9110e29fabfd54eb9bba-php-016-013.shuffled-as.sat05-1174
0.019113388,542447,10368,5184,0,26,0,0,0,0,7.93,7.93,7.74,543e67dd5abc272c37775b1b742a1d9a-qwh.60.1728.shuffled-as.sat03-1659
0.019704433,2030,40,26,0,14,0,0,0,0,0.06,0.11,0.02,5ea0f107a1905a8e0446af0c92d6a160-fphp-014-012.shuffled-as.sat05-1215
0.020298966,500124,10152,5076,0,28,0,0,0,0,7.1,7.14,6.96,6ff4198f0afaa8cd07f0c33edb9f71e7-qwh.60.1692.shuffled-as.sat03-1658
0.02173913,1288,28,14,0,14,0,0,0,0,0.05,0.11,0.01,b5916fcddc9b1e992383d861bdd7829e-php-014-014.shuffled-as.sat05-1159
0.022222222,2340,52,22,0,15,0,0,0,0,0.06,0.11,0.03,2eee5bfbc4019900d2cac2206949defe-homer19.shuffled
0.022556391,1197,27,13,0,14,0,0,0,0,0.06,0.11,0.01,73eea2912e1b5e74d971903952a97208-counting-harder-php-014-013.sat05-1187.reshuffled-07
0.022556391,1596,36,24,0,12,0,0,0,0,0.1,0.13,0.02,c66167837eaad5a6ddc6ee40fa77488f-fphp-012-012.shuffled-as.sat05-1200
0.022640006,331272,7500,3750,0,23,0,0,0,0,4.79,4.79,4.63,70ef2b6bdc4101a0e35cf3d165571fe3-qwh.50.1250.shuffled-as.sat03-1655
0.023474178,2130,50,20,0,15,0,0,0,0,0.17,0.11,0.02,dffcb4c4b6048e2843c76048d6efa2e0-homer14.shuffled
0.023508137,1106,26,12,0,14,0,0,0,0,0.05,0.1,0.01,1449a115a5f2378e73dcbda3fa0c0425-php-014-012.shuffled-as.sat05-1173
0.024149548,402492,9720,4860,0,26,0,0,0,0,5.86,5.82,5.65,592b72e471d49ce231aaa87c254c6082-qwh.60.1620.shuffled-as.sat03-1657
0.024604346,78604,1934,85,0,43,0,0,0,0,1.29,1.28,1.17,fe1d6aa88f0cc9370c284d285bb17a6d-battleship-43-85-sat
0.024630542,2030,50,22,0,14,0,0,0,0,0.06,0.11,0.02,3c4ac805726d78a869ff8116ee3533db-homer18.shuffled
0.025,1920,48,18,0,15,0,0,0,0,0.1,0.13,0.02,b70b07489391f3e323d29718ad2d61db-homer09.shuffled
