result,ratio,cadical-CPU,ReEncode-CPU,ccdclMinus-CPU,ccdcl-CPU,ccdclPlus-CPU,cadical-Wall,ReEncode-Wall,ccdclMinus-Wall,ccdcl-Wall,ccdclPlus-Wall,Name
UNKNOWN,0.645620446,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,033560dbd1b4d3545b4b40ef90aaaa29-total-5-15-u
UNSAT,0.637149821,1583.56,1276.18,2309.01,3536.32,3361,1596.71,1282.6,2314.28,3542.48,3366.6,0534387f90398a24495d4b7b05f9b342-dated-5-13-u
UNKNOWN,0.631918002,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,05fb1e489956554f9115344bce4e71c7-partial-10-11-u-sc2007
UNSAT,0.62938629,24.8,23.93,23.09,46.87,45.34,25.89,23.93,23.16,47.65,45.41,08eeb55c898dc6bedc915ed191dab009-total-10-11-u
UNSAT,0.637635248,92.23,101.89,229.59,380.8,454.52,92.52,102.11,230.24,381.55,455.56,1005eec69abcc300e1c0d22bd08ad143-total-10-13-u
UNSAT,0.659702618,2803.35,3075.28,5000,4350.6,4521.19,2815.6,3099.37,5000,4359.32,4528.55,146359b7765e5adff618d3cd77e0dcc8-dated-5-19-u
UNSAT,0.629642497,7.25,7.39,6.52,10.58,13.27,7.27,7.46,6.54,10.61,13.26,19d28dbff9188a8bd38bcf78a6a3f4aa-total-5-11-u
UNSAT,0.637389744,134.55,142.17,201.7,473.22,536.06,134.99,143.58,202.64,474.01,536.99,2067ba1b7fa867b3fc29566df6841d15-dated-10-13-u
SAT,0.034248201,6.59,21.39,592.72,745.78,3.41,6.64,21.4,594.5,751.18,3.34,2a4287ec5a62566667d1b6f1e3c04326-med30.shuffled
UNSAT,0.768344478,123.95,176.81,183.55,172.22,228.85,125.68,178.05,184.25,172.91,228.98,347c985c4bab76b31282fc0912214a82-UCG-15-10p0
UNKNOWN,0.659564799,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,364d504da0dcfab32515a1c4d546b2c7-total-10-19-u
UNSAT,0.781548085,307.55,316.29,322.31,480.17,531.41,309.39,317.61,324.07,480.84,532.34,38052005a610a47c08a0aa142a9de7cc-UR-20-5p0
UNKNOWN,0.335696394,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3c1b4c4580c8be0d76570d34801cb9b1-sokoban-p20.sas.cr.37
UNKNOWN,0.661517767,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4a11c696d6174ab3660e4abaa44ee432-partial-5-19-u-sc2007
UNKNOWN,0.631880381,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,55f56669879e0ec810875b160a131d9d-partial-5-11-u-sc2007
SAT,0.5251296,8.93,26.01,26.2,38.92,29.04,8.84,26.1,26.26,39.79,29.23,56be52d2a0580e3fb53f19429228e035-gripper11.shuffled-as.sat03-390
UNSAT,0.41315044,11.27,9.62,8.83,11.47,8.11,11.36,9.62,8.47,11.33,8.1,589c28edb78dff1b711977fbaec34e18-hanoi5u.shuffled-as.sat03-401
UNSAT,0.659987875,3894.16,3972.5,5000,5000,5000,3917.11,3997.98,5000,5000,5000,5c9458f7902032ce0b12fa8af01b42ce-total-5-19-u
UNKNOWN,0.640737627,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5e847be6e071e1df01cc91562fc74198-partial-10-13-u
SAT,0.830298898,249.62,278.71,121.31,139.66,168.96,251.29,279.64,121.62,139.95,169.38,5ea72bcdccc86bd1a924029f7b81aec5-atco_enc1_opt1_10_15
UNSAT,0.653166872,738.27,602.09,1097.76,1809.78,1574.95,740.77,606.45,1103.01,1811.7,1580.48,61194ea79b166947d3646c1951395ef4-dated-10-17-u
UNKNOWN,0.640064805,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,650b00aee98d38255a4345f78d764ca9-partial-5-13-u
UNKNOWN,0.335360421,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,659de4a475806fe6de0f52f466986ced-sokoban-p20.sas.cr.31
UNSAT,0.629158915,101.32,109.08,250.29,402.03,486.29,101.83,109.37,251.69,402.87,488.3,7776575d632336be100c3d8591ef7134-dated-10-11-u
SAT,0.664541285,591.29,95.76,41.14,1412.41,85.79,592.49,95.93,41.25,1422.37,85.97,7abd6e60bdb990307bda8a2447e2128b-partial-5-19-s
UNSAT,0.652991392,1033.63,819.21,2295.01,3381.01,2490.72,1045.18,825.78,2301.81,3391.68,2497.01,7c552f4d2bc35862829d06d94e230c4a-total-10-17-u
SAT,0.898988152,73.19,348.12,60.51,17.4,397.16,76.03,351.33,60.65,17.48,397.86,80228e9f9a7eabcf5a44312987c048b2-em_7_3_6_cmp
UNKNOWN,0.647992965,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,88f29b33264da2ded0620c610a28045d-partial-5-15-u
SAT,0.662426432,25.92,9.69,19.54,21.2,20.39,26.06,9.7,19.53,21.24,20.38,8e3b844739ffc6439a32e91192ae1848-total-5-19-s
UNKNOWN,0.645327423,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,93f5f69f3f9488b0712d1c01204d4e30-total-10-15-u-sc2007
UNSAT,0.64535128,52.82,50.87,71.23,119.49,107.22,53.36,51.24,71.6,121.27,109.81,9a839badecb20dcf505ec79eedd3753a-anbul-dated-5-15-u
UNSAT,0.645594797,13.31,15.51,14.69,14.32,17.66,13.35,15.57,14.72,14.33,17.65,a817258b60fd6eb46b96b3f9b4236cfd-dated-10-15-u
SAT,0.662454695,31.15,24.51,23.68,19.68,18.97,31.1,24.61,23.72,19.64,18.95,b1d9cca0a2c07cbab176e93cb8f342b8-total-10-19-s
SAT,0.781899452,2963.96,2337.62,3.6,2417.71,5000,3044.15,2356.75,3.58,2429.43,5000,bb9c9b664ea6c902ab8d25dcabec4c01-em_14_7_3_fbc
UNKNOWN,0.448231584,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,c3621075609bccb71f473444d4bb32a1-sokoban-sequential-p145-microban-sequential.080-SAT
UNKNOWN,0.660031319,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,c596ce4ec92abfaa76f535251ebee0a6-dated-10-19-u
UNKNOWN,0.65265985,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,d7250f69bc0db9bd46a3252e8f0e9eaa-total-5-17-u
SAT,0.353685145,25.21,98.38,88.44,25.97,5.07,25.27,99.21,88.97,26.07,4.77,dd5a1f73645012be3107b5309582db64-em_9_3_5_exp
SAT,0.784496237,967.63,954.23,182.27,274.47,1126.85,968.6,956.18,182.5,274.83,1127.57,df83394c29df48df7b325f30b7e4744d-UR-20-10p1
UNSAT,0.879368737,690.06,790.49,715.49,798.08,788.56,693.17,793.86,717.34,799.88,789.89,e21a7c73d62ff040aec4ea2f03af2328-manthey_single-ordered-initialized-w46-b9
SAT,0.632139525,10.43,10.89,3.19,11.48,4.11,10.54,10.95,3.14,11.57,4.13,e888eb330677e78ad4da026b7965f64f-dated-10-11-s
UNSAT,0.652861869,47.41,63.52,107.87,166.2,207.17,48.26,64.16,108.19,166.49,207.73,ed34fc571e420540a0b42d81fd650e3c-dated-5-17-u
UNKNOWN,0.648108633,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,f9bc7ef71aee753e2c3ea28a9eda94f1-partial-10-15-u
UNSAT,0.714285714,0.06,0.07,0.06,0.06,0.08,0.18,0.18,0.19,0.18,0.2,0033baadbd48d3f880e9b5a733bd4950-rope_0030.shuffled
SAT,0.859636801,0.34,0.31,0.34,0,0.32,0.07,0.03,0.04,0.06,0.03,003a77d2aa15a5f93aa2cfe79b986c9e-fclqcolor-20-15-15.shuffled-as.sat05-1270
UNSAT,0.232785323,418.64,501.34,388.33,413.22,420.11,419.6,504.08,389.99,414.48,423.21,0041f01bcd7d0d1f9541cea6da79ad57-SGI_30_60_24_40_2-dir.shuffled-as.sat03-118
SAT,0.391367604,14.01,8.88,62.91,23.74,40.24,14.06,8.89,63.1,23.56,40.04,00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7
UNSAT,0.83086573,125.01,128.12,66.9,95.54,91.1,125.45,128.33,68.27,96.14,91.2,00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15
UNKNOWN,0.25,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,00ec2992d59f85705eb8e1f4f1e01b3d-sgen4-sat-280-8
SAT,0.804663212,33.22,46.01,111.42,2.56,366.62,33.25,46.94,112.24,2.64,369.91,00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957
